@relation InstanceResultListener

@attribute Key_Dataset {2dplanes}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

2dplanes,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.06,36691,4077,0.815025,1.016476,22.785546,23.24599,0.972603,0,0,?,?,?,?,?,?,7.495,0.01,7.140625,0,7140.625,0,9947,4294105,478267,?,?,?,2
2dplanes,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.06,36691,4077,0.787503,0.991854,22.057322,22.726574,0.973835,0,0,?,?,?,?,?,?,5.048,0.01,4.6875,0.015625,4687.5,15.625,9947,4294105,478267,?,?,?,2
2dplanes,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.06,36691,4077,0.781424,0.985382,22.190065,22.844578,0.973566,0,0,?,?,?,?,?,?,4.706,0.01,4.640625,0.015625,4640.625,15.625,9947,4294105,478267,?,?,?,2
2dplanes,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.06,36691,4077,0.799281,1.001499,21.721821,22.365719,0.974696,0,0,?,?,?,?,?,?,4.733,0,4.703125,0,4703.125,0,9947,4294105,478267,?,?,?,2
2dplanes,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.06,36691,4077,0.790262,0.988969,21.551121,22.196521,0.975067,0,0,?,?,?,?,?,?,4.89,0,4.71875,0,4718.75,0,9947,4294105,478267,?,?,?,2
2dplanes,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.06,36691,4077,0.775623,0.977078,21.35261,22.118475,0.97522,0,0,?,?,?,?,?,?,4.979,0.01,4.9375,0.015625,4937.5,15.625,9947,4294105,478267,?,?,?,2
2dplanes,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.06,36691,4077,0.787559,0.984951,22.18754,22.728169,0.973835,0,0,?,?,?,?,?,?,4.708,0,4.671875,0,4671.875,0,9947,4294105,478267,?,?,?,2
2dplanes,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.06,36691,4077,0.801167,1.00028,22.004943,22.724438,0.973826,0,0,?,?,?,?,?,?,4.79,0,4.734375,0,4734.375,0,9947,4294105,478267,?,?,?,2
2dplanes,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0601,36692,4076,0.812979,1.009241,22.537087,23.026178,0.973128,0,0,?,?,?,?,?,?,7.518,0,6.75,0,6750,0,9947,4294222,478150,?,?,?,2
2dplanes,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0601,36692,4076,0.812735,1.015312,22.425722,23.050451,0.973077,0,0,?,?,?,?,?,?,5.851,0,5.71875,0,5718.75,0,9947,4294222,478150,?,?,?,2
2dplanes,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0601,36691,4077,0.806483,1.015708,22.724156,23.364399,0.972339,0,0,?,?,?,?,?,?,4.943,0,4.859375,0,4859.375,0,9947,4294105,478267,?,?,?,2
2dplanes,2,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0601,36691,4077,0.785661,0.98161,21.593239,22.193306,0.97506,0,0,?,?,?,?,?,?,5.01,0.003,4.953125,0,4953.125,0,9947,4294105,478267,?,?,?,2
2dplanes,2,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0601,36691,4077,0.804346,1.009215,22.252812,22.914104,0.973393,0,0,?,?,?,?,?,?,4.83,0,4.640625,0,4640.625,0,9947,4294105,478267,?,?,?,2
2dplanes,2,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0601,36691,4077,0.792085,0.994349,21.616124,22.359413,0.974709,0,0,?,?,?,?,?,?,4.675,0.01,4.609375,0,4609.375,0,9947,4294105,478267,?,?,?,2
2dplanes,2,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0601,36691,4077,0.785644,0.984967,22.064135,22.637722,0.974036,0,0,?,?,?,?,?,?,4.814,0.01,4.765625,0.015625,4765.625,15.625,9947,4294105,478267,?,?,?,2
2dplanes,2,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0601,36691,4077,0.780239,0.984697,21.629056,22.40101,0.974584,0,0,?,?,?,?,?,?,4.87,0.01,4.8125,0.015625,4812.5,15.625,9947,4294105,478267,?,?,?,2
2dplanes,2,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0601,36691,4077,0.809551,1.010016,22.36232,23.065321,0.973036,0,0,?,?,?,?,?,?,4.772,0,4.71875,0,4718.75,0,9947,4294105,478267,?,?,?,2
2dplanes,2,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0601,36691,4077,0.790074,0.986868,21.728371,22.445476,0.974488,0,0,?,?,?,?,?,?,5.276,0.01,5.109375,0,5109.375,0,9947,4294105,478267,?,?,?,2
2dplanes,2,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0601,36692,4076,0.810364,1.00972,22.510018,22.952309,0.973292,0,0,?,?,?,?,?,?,5.288,0,5.203125,0,5203.125,0,9947,4294222,478150,?,?,?,2
2dplanes,2,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0602,36692,4076,0.798733,0.993093,22.318518,22.66179,0.973985,0,0,?,?,?,?,?,?,5.33,0,5.3125,0,5312.5,0,9947,4294222,478150,?,?,?,2
2dplanes,3,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0602,36691,4077,0.792221,0.995626,22.127144,22.848397,0.973546,0,0,?,?,?,?,?,?,5.789,0.01,5.6875,0.015625,5687.5,15.625,9947,4294105,478267,?,?,?,2
2dplanes,3,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0602,36691,4077,0.799891,0.996821,22.528758,22.978674,0.973249,0,0,?,?,?,?,?,?,7.371,0.01,6.734375,0.015625,6734.375,15.625,9947,4294105,478267,?,?,?,2
2dplanes,3,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0602,36691,4077,0.795174,1.003483,22.129002,22.966187,0.973273,0,0,?,?,?,?,?,?,6.409,0,6.140625,0,6140.625,0,9947,4294105,478267,?,?,?,2
2dplanes,3,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0602,36691,4077,0.784655,0.979789,21.846837,22.457412,0.974461,0,0,?,?,?,?,?,?,6.41,0,6.28125,0,6281.25,0,9947,4294105,478267,?,?,?,2
2dplanes,3,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0602,36691,4077,0.805616,1.006608,22.428948,22.957367,0.973291,0,0,?,?,?,?,?,?,5.92,0,5.765625,0,5765.625,0,9947,4294105,478267,?,?,?,2
2dplanes,3,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0602,36691,4077,0.756725,0.961256,20.584283,21.45515,0.97676,0,0,?,?,?,?,?,?,4.885,0,4.8125,0,4812.5,0,9947,4294105,478267,?,?,?,2
2dplanes,3,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0602,36691,4077,0.814168,1.016746,22.703765,23.219428,0.972695,0,0,?,?,?,?,?,?,4.934,0,4.875,0,4875,0,9947,4294105,478267,?,?,?,2
2dplanes,3,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0602,36691,4077,0.791907,0.989828,21.783439,22.380085,0.974619,0,0,?,?,?,?,?,?,4.905,0,4.84375,0,4843.75,0,9947,4294105,478267,?,?,?,2
2dplanes,3,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0602,36692,4076,0.806789,1.007858,22.259967,22.825682,0.973608,0,0,?,?,?,?,?,?,5.234,0,5.09375,0,5093.75,0,9947,4294222,478150,?,?,?,2
2dplanes,3,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0603,36692,4076,0.816291,1.01248,22.425971,22.933414,0.973382,0,0,?,?,?,?,?,?,4.997,0,4.953125,0,4953.125,0,9947,4294222,478150,?,?,?,2
2dplanes,4,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0603,36691,4077,0.798831,1.002473,22.121421,22.849072,0.973557,0,0,?,?,?,?,?,?,4.924,0,4.859375,0,4859.375,0,9947,4294105,478267,?,?,?,2
2dplanes,4,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0603,36691,4077,0.796891,0.992731,22.327634,22.813427,0.973633,0,0,?,?,?,?,?,?,4.827,0,4.8125,0,4812.5,0,9947,4294105,478267,?,?,?,2
2dplanes,4,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0603,36691,4077,0.789529,0.984187,21.817124,22.3365,0.97475,0,0,?,?,?,?,?,?,4.898,0,4.859375,0,4859.375,0,9947,4294105,478267,?,?,?,2
2dplanes,4,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0603,36691,4077,0.794514,0.997752,21.761078,22.513674,0.974341,0,0,?,?,?,?,?,?,5.381,0,5.28125,0,5281.25,0,9947,4294105,478267,?,?,?,2
2dplanes,4,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0603,36691,4077,0.791048,0.990903,22.146358,22.821301,0.973619,0,0,?,?,?,?,?,?,6.728,0.003,6.375,0,6375,0,9947,4294105,478267,?,?,?,2
2dplanes,4,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0603,36691,4077,0.805327,1.004649,22.328403,22.809115,0.973644,0,0,?,?,?,?,?,?,5.04,0,4.984375,0,4984.375,0,9947,4294105,478267,?,?,?,2
2dplanes,4,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220415.0603,36691,4077,0.787314,0.990461,21.94296,22.584084,0.974178,0,0,?,?,?,?,?,?,4.952,0,4.875,0,4875,0,9947,4294105,478267,?,?,?,2
