@relation InstanceResultListener

@attribute Key_Dataset {abalone}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

abalone,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.451857,2.009174,63.687395,64.328834,0.76534,0,0,?,?,?,?,?,?,0.729,0,0.734375,0,734.375,0,14136,381150,43709,?,?,?,7
abalone,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.483875,2.090452,60.221897,63.390594,0.77361,0,0,?,?,?,?,?,?,0.882,0.001,0.875,0,875,0,19936,381150,43709,?,?,?,15
abalone,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.569162,2.189986,62.725046,62.496785,0.787085,0,0,?,?,?,?,?,?,0.855,0,0.6875,0,687.5,0,13404,381150,43709,?,?,?,6
abalone,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.494848,2.06914,65.225196,65.756133,0.753254,0,0,?,?,?,?,?,?,0.78,0,0.71875,0,718.75,0,13400,381150,43709,?,?,?,6
abalone,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.490181,2.120847,64.598836,68.23089,0.734946,0,0,?,?,?,?,?,?,0.787,0.001,0.734375,0,734.375,0,12664,381150,43709,?,?,?,5
abalone,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.65529,2.385234,66.12304,67.913848,0.736346,0,0,?,?,?,?,?,?,0.473,0,0.46875,0,468.75,0,17028,381150,43709,?,?,?,11
abalone,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.487462,1.992535,63.462536,64.417904,0.767879,0,0,?,?,?,?,?,?,0.526,0.001,0.484375,0,484.375,0,14132,381150,43709,?,?,?,7
abalone,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3760,417,1.406762,1.964019,63.066932,64.784927,0.762427,0,0,?,?,?,?,?,?,0.472,0,0.46875,0,468.75,0,19184,381251,43608,?,?,?,14
abalone,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3760,417,1.56287,2.210007,62.846688,65.29339,0.757932,0,0,?,?,?,?,?,?,0.476,0.001,0.453125,0,453.125,0,17056,381251,43608,?,?,?,11
abalone,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3760,417,1.459763,2.22951,65.831184,74.572172,0.68757,0,0,?,?,?,?,?,?,0.485,0.001,0.484375,0,484.375,0,11928,381251,43608,?,?,?,4
abalone,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.622399,2.274399,67.06594,66.131662,0.751596,0,0,?,?,?,?,?,?,0.477,0,0.46875,0,468.75,0,17796,381150,43709,?,?,?,12
abalone,2,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.40785,1.926186,68.019676,66.591197,0.748018,0,0,?,?,?,?,?,?,0.491,0,0.484375,0,484.375,0,13396,381150,43709,?,?,?,6
abalone,2,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.441144,2.015151,58.9636,63.514663,0.771876,0,0,?,?,?,?,?,?,0.501,0,0.46875,0,468.75,0,18496,381150,43709,?,?,?,13
abalone,2,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.597525,2.329571,68.397318,69.878308,0.71541,0,0,?,?,?,?,?,?,0.462,0.001,0.453125,0,453.125,0,13400,381150,43709,?,?,?,6
abalone,2,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.45661,1.991378,60.794931,62.627617,0.782595,0,0,?,?,?,?,?,?,0.469,0,0.453125,0,453.125,0,13404,381150,43709,?,?,?,6
abalone,2,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0703,3759,418,1.451865,1.946714,59.372416,60.738996,0.79545,0,0,?,?,?,?,?,?,0.478,0,0.46875,0,468.75,0,18432,381150,43709,?,?,?,13
