@relation InstanceResultListener

@attribute Key_Dataset {autoMpg}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

autoMpg,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,2.244575,2.822028,33.091777,34.405346,0.937894,0,0,?,?,?,?,?,?,0.072,0,0.0625,0,62.5,0,15606,35171,5597,?,?,?,5
autoMpg,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,2.402183,3.244182,34.250618,38.606196,0.922123,0,0,?,?,?,?,?,?,0.083,0.001,0.09375,0,93.75,0,15662,35171,5597,?,?,?,5
autoMpg,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,2.656555,3.95725,42.077982,51.399137,0.854451,0,0,?,?,?,?,?,?,0.068,0,0.0625,0,62.5,0,15634,35171,5597,?,?,?,5
autoMpg,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.77079,2.475048,28.769945,32.14219,0.947691,0,0,?,?,?,?,?,?,0.052,0,0.0625,0,62.5,0,14750,35171,5597,?,?,?,4
autoMpg,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.888499,2.497695,30.354359,33.560902,0.941779,0,0,?,?,?,?,?,?,0.047,0,0.046875,0,46.875,0,12858,35171,5597,?,?,?,2
autoMpg,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.652273,2.166155,21.600829,25.940701,0.96572,0,0,?,?,?,?,?,?,0.056,0,0.03125,0,31.25,0,12830,35171,5597,?,?,?,2
autoMpg,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.785346,2.556624,27.467808,33.19009,0.943008,0,0,?,?,?,?,?,?,0.051,0,0.0625,0,62.5,0,14710,35171,5597,?,?,?,4
autoMpg,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.819927,2.602811,27.837557,32.604009,0.947269,0,0,?,?,?,?,?,?,0.056,0,0.03125,0,31.25,0,14718,35171,5597,?,?,?,4
autoMpg,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,359,39,1.734963,2.360262,25.063108,29.696635,0.956019,0,0,?,?,?,?,?,?,0.054,0,0.0625,0,62.5,0,12858,35264,5504,?,?,?,2
autoMpg,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,359,39,2.04615,2.522368,38.083994,37.610123,0.920109,0,0,?,?,?,?,?,?,0.06,0,0.0625,0,62.5,0,15670,35264,5504,?,?,?,5
autoMpg,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.948129,2.586796,30.535064,34.879994,0.937506,0,0,?,?,?,?,?,?,0.074,0,0.0625,0,62.5,0,12870,35171,5597,?,?,?,2
autoMpg,2,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,2.06679,3.387458,30.311173,41.94582,0.908882,0,0,?,?,?,?,?,?,0.077,0,0.0625,0,62.5,0,14726,35171,5597,?,?,?,4
autoMpg,2,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.614306,2.182217,27.560695,32.639542,0.943973,0,0,?,?,?,?,?,?,0.068,0,0.046875,0,46.875,0,12858,35171,5597,?,?,?,2
autoMpg,2,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.989476,2.762089,34.164575,38.857495,0.936844,0,0,?,?,?,?,?,?,0.052,0,0.046875,0,46.875,0,14730,35171,5597,?,?,?,4
autoMpg,2,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,2.3428,2.879641,31.815584,33.820309,0.943596,0,0,?,?,?,?,?,?,0.053,0,0.046875,0,46.875,0,14738,35171,5597,?,?,?,4
autoMpg,2,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.644461,2.051976,22.463258,24.524791,0.966267,0,0,?,?,?,?,?,?,0.048,0,0.046875,0,46.875,0,14770,35171,5597,?,?,?,4
autoMpg,2,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.834372,2.446013,24.253336,27.549676,0.962505,0,0,?,?,?,?,?,?,0.049,0,0.046875,0,46.875,0,14734,35171,5597,?,?,?,4
autoMpg,2,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,2.376929,2.969256,41.132481,42.558077,0.909229,0,0,?,?,?,?,?,?,0.055,0,0.0625,0,62.5,0,12830,35171,5597,?,?,?,2
autoMpg,2,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,359,39,1.933273,2.600309,28.555196,33.055768,0.948705,0,0,?,?,?,?,?,?,0.053,0,0.046875,0,46.875,0,15626,35264,5504,?,?,?,5
autoMpg,2,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,359,39,2.193298,3.223352,37.630222,40.076443,0.920912,0,0,?,?,?,?,?,?,0.058,0,0.046875,0,46.875,0,15622,35264,5504,?,?,?,5
autoMpg,3,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,2.311498,2.925111,33.341374,35.300494,0.932505,0,0,?,?,?,?,?,?,0.058,0,0.0625,0,62.5,0,14694,35171,5597,?,?,?,4
autoMpg,3,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,2.008851,2.626023,31.498277,33.719848,0.941568,0,0,?,?,?,?,?,?,0.051,0,0.046875,0,46.875,0,14746,35171,5597,?,?,?,4
autoMpg,3,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.848753,2.439857,32.998722,35.16204,0.936157,0,0,?,?,?,?,?,?,0.05,0,0.046875,0,46.875,0,15698,35171,5597,?,?,?,5
autoMpg,3,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.95431,2.56369,28.780286,32.095213,0.947433,0,0,?,?,?,?,?,?,0.051,0,0.046875,0,46.875,0,15674,35171,5597,?,?,?,5
autoMpg,3,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.968443,2.583545,25.523778,29.809507,0.954012,0,0,?,?,?,?,?,?,0.05,0,0.046875,0,46.875,0,12854,35171,5597,?,?,?,2
autoMpg,3,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.575189,2.290534,24.000124,29.95512,0.951375,0,0,?,?,?,?,?,?,0.05,0,0.046875,0,46.875,0,14742,35171,5597,?,?,?,4
autoMpg,3,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,1.744911,2.351921,29.02099,32.215425,0.943636,0,0,?,?,?,?,?,?,0.06,0,0.0625,0,62.5,0,14738,35171,5597,?,?,?,4
autoMpg,3,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,358,40,2.453789,3.069942,35.994494,36.056336,0.925129,0,0,?,?,?,?,?,?,0.064,0,0.046875,0,46.875,0,18330,35171,5597,?,?,?,8
autoMpg,3,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0658,359,39,2.227455,3.492772,34.764801,45.431134,0.885111,0,0,?,?,?,?,?,?,0.088,0,0.0625,0,62.5,0,12866,35264,5504,?,?,?,2
