@relation InstanceResultListener

@attribute Key_Dataset {auto_price}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

auto_price,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,2184.383855,3332.198242,53.06451,68.14845,0.738224,0,0,?,?,?,?,?,?,0.024,0,0.015625,0,15.625,0,11743,24376,4437,?,?,?,1
auto_price,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,793.865753,992.184477,21.802763,25.690819,0.959481,0,0,?,?,?,?,?,?,0.018,0,0.015625,0,15.625,0,18900,24376,4437,?,?,?,9
auto_price,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1253.111725,1577.106992,19.840734,18.881806,0.988197,0,0,?,?,?,?,?,?,0.016,0,0.03125,0,31.25,0,16259,24376,4437,?,?,?,6
auto_price,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,925.999316,1175.546547,23.331519,28.333454,0.942889,0,0,?,?,?,?,?,?,0.016,0,0.015625,0,15.625,0,17140,24376,4437,?,?,?,7
auto_price,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,2432.535298,3220.727617,53.958166,48.321564,0.882218,0,0,?,?,?,?,?,?,0.019,0,0.015625,0,15.625,0,15363,24376,4437,?,?,?,5
auto_price,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,844.035824,1067.127802,18.394833,19.250378,0.985318,0,0,?,?,?,?,?,?,0.018,0,0.015625,0,15.625,0,16199,24376,4437,?,?,?,6
auto_price,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1374.151178,1887.053316,33.799791,43.192639,0.9031,0,0,?,?,?,?,?,?,0.018,0,0.015625,0,15.625,0,17103,24376,4437,?,?,?,7
auto_price,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1960.645029,2387.750658,38.151823,36.480626,0.907894,0,0,?,?,?,?,?,?,0.021,0,0.03125,0,31.25,0,18896,24376,4437,?,?,?,9
auto_price,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1868.056263,2796.20052,30.990342,35.047375,0.959136,0,0,?,?,?,?,?,?,0.02,0,0.015625,0,15.625,0,18921,24376,4437,?,?,?,9
auto_price,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,144,15,999.595428,1564.440188,26.312587,33.172344,0.943424,0,0,?,?,?,?,?,?,0.017,0,0.015625,0,15.625,0,16289,24533,4280,?,?,?,6
auto_price,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1004.687847,1211.66345,24.138247,24.680576,0.96762,0,0,?,?,?,?,?,?,0.019,0,0.015625,0,15.625,0,18844,24376,4437,?,?,?,9
auto_price,2,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1705.799164,2412.214152,43.550634,44.557665,0.900184,0,0,?,?,?,?,?,?,0.018,0,0.015625,0,15.625,0,16251,24376,4437,?,?,?,6
auto_price,2,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1310.076884,1907.455802,25.646015,33.665089,0.954453,0,0,?,?,?,?,?,?,0.016,0,0.015625,0,15.625,0,18012,24376,4437,?,?,?,8
auto_price,2,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1379.751752,2532.456573,34.852094,58.903579,0.815683,0,0,?,?,?,?,?,?,0.018,0,0.015625,0,15.625,0,21548,24376,4437,?,?,?,12
auto_price,2,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1856.131122,2674.174479,35.359159,42.016195,0.962236,0,0,?,?,?,?,?,?,0.016,0,0.015625,0,15.625,0,18028,24376,4437,?,?,?,8
auto_price,2,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1203.3506,1637.922024,30.803718,38.575763,0.96381,0,0,?,?,?,?,?,?,0.016,0,0.015625,0,15.625,0,17144,24376,4437,?,?,?,7
auto_price,2,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1528.020802,2163.765733,36.127679,34.648034,0.953188,0,0,?,?,?,?,?,?,0.016,0,0.015625,0,15.625,0,17105,24376,4437,?,?,?,7
auto_price,2,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1939.649441,3662.176622,27.830243,41.107174,0.944942,0,0,?,?,?,?,?,?,0.019,0,0.03125,0,31.25,0,21509,24376,4437,?,?,?,12
auto_price,2,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,786.371865,1119.804159,20.422218,25.732619,0.966155,0,0,?,?,?,?,?,?,0.017,0,0.015625,0,15.625,0,16268,24376,4437,?,?,?,6
auto_price,2,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,144,15,2143.266632,2672.648667,46.323484,38.527054,0.897609,0,0,?,?,?,?,?,?,0.016,0,0.015625,0,15.625,0,17079,24533,4280,?,?,?,7
auto_price,3,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1078.604861,1758.888397,26.465172,36.04277,0.918026,0,0,?,?,?,?,?,?,0.02,0,0.015625,0,15.625,0,18911,24376,4437,?,?,?,9
auto_price,3,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,1489.106322,2128.486482,29.838629,37.035652,0.932265,0,0,?,?,?,?,?,?,0.015,0,0.015625,0,15.625,0,15335,24376,4437,?,?,?,5
auto_price,3,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0654,143,16,2141.599675,3018.171814,46.844696,54.20784,0.846771,0,0,?,?,?,?,?,?,0.016,0,0.015625,0,15.625,0,18824,24376,4437,?,?,?,9
