@relation InstanceResultListener

@attribute Key_Dataset {cpu_small}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

cpu_small,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0438,7372,820,2.247396,3.084714,19.839261,15.072257,0.988577,0,0,?,?,?,?,?,?,0.925,0.001,0.921875,0,921.875,0,29265,981866,110450,?,?,?,26
cpu_small,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0438,7372,820,2.146687,3.488196,19.954152,18.792455,0.982183,0,0,?,?,?,?,?,?,0.898,0.001,0.90625,0,906.25,0,58929,981866,110450,?,?,?,65
cpu_small,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0438,7373,819,2.242537,3.489999,22.353075,21.550714,0.976435,0,0,?,?,?,?,?,?,0.882,0.001,0.875,0,875,0,56221,981999,110317,?,?,?,62
cpu_small,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0438,7373,819,2.21142,3.055655,21.872477,17.725543,0.984116,0,0,?,?,?,?,?,?,0.887,0.001,0.875,0.015625,875,15.625,46885,981999,110317,?,?,?,49
cpu_small,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0438,7373,819,2.146877,3.042679,21.274504,17.85578,0.983949,0,0,?,?,?,?,?,?,0.893,0.001,0.890625,0,890.625,0,56633,981999,110317,?,?,?,61
cpu_small,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0438,7373,819,2.261017,3.385257,20.848747,17.959332,0.983752,0,0,?,?,?,?,?,?,0.909,0.001,0.90625,0,906.25,0,47857,981999,110317,?,?,?,50
cpu_small,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0439,7373,819,2.203693,3.008482,21.545944,17.963913,0.983738,0,0,?,?,?,?,?,?,0.882,0,0.859375,0,859.375,0,63705,981999,110317,?,?,?,71
cpu_small,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0439,7373,819,2.205785,3.141434,21.168487,16.918178,0.985597,0,0,?,?,?,?,?,?,0.887,0.001,0.890625,0,890.625,0,50737,981999,110317,?,?,?,54
cpu_small,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0439,7373,819,2.185163,2.958883,20.131931,15.550057,0.987838,0,0,?,?,?,?,?,?,0.895,0,0.875,0,875,0,15961,981999,110317,?,?,?,9
