@relation InstanceResultListener

@attribute Key_Dataset {cal_housing}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

cal_housing,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2154,18576,2064,36869.362102,56160.422632,40.350242,48.258057,0.87562,0,0,?,?,?,?,?,?,2.82,0,2.328125,0,2328.125,0,142234,1877435,209723,?,?,?,191
cal_housing,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2154,18576,2064,36055.032362,52213.249655,39.58341,45.4634,0.890646,0,0,?,?,?,?,?,?,2.522,0,2.421875,0,2421.875,0,141434,1877435,209723,?,?,?,190
cal_housing,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2154,18576,2064,36562.98258,55315.796112,41.297571,48.832369,0.872787,0,0,?,?,?,?,?,?,2.479,0,2.390625,0,2390.625,0,136446,1877435,209723,?,?,?,183
cal_housing,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2154,18576,2064,35316.661125,53542.899614,39.173718,47.294618,0.880884,0,0,?,?,?,?,?,?,2.819,0.003,2.609375,0.015625,2609.375,15.625,175206,1877435,209723,?,?,?,238
cal_housing,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,37363.768962,56638.931602,40.264746,48.051072,0.876919,0,0,?,?,?,?,?,?,3.008,0.001,2.84375,0,2843.75,0,123210,1877435,209723,?,?,?,164
cal_housing,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,37026.901785,55083.430541,40.323005,47.078459,0.882158,0,0,?,?,?,?,?,?,2.851,0.003,2.609375,0.015625,2609.375,15.625,168250,1877435,209723,?,?,?,228
cal_housing,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,36138.474341,60398.772771,39.998896,52.755527,0.850799,0,0,?,?,?,?,?,?,2.737,0.002,2.671875,0,2671.875,0,169210,1877435,209723,?,?,?,229
cal_housing,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,37317.703911,56904.634718,41.427404,50.05727,0.866191,0,0,?,?,?,?,?,?,2.756,0.002,2.6875,0,2687.5,0,130282,1877435,209723,?,?,?,173
cal_housing,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,37958.551301,60628.906273,40.571541,51.100701,0.860429,0,0,?,?,?,?,?,?,2.703,0.002,2.640625,0,2640.625,0,175954,1877435,209723,?,?,?,239
cal_housing,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,35727.446521,53198.114377,38.813645,46.454782,0.88535,0,0,?,?,?,?,?,?,2.751,0.003,2.671875,0,2671.875,0,166186,1877435,209723,?,?,?,225
cal_housing,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,36270.867478,67183.273712,39.551447,58.153598,0.82339,0,0,?,?,?,?,?,?,2.839,0.002,2.75,0,2750,0,156522,1877435,209723,?,?,?,211
cal_housing,2,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,34153.501576,50269.54203,38.621765,44.502893,0.895448,0,0,?,?,?,?,?,?,2.738,0.002,2.5625,0,2562.5,0,169186,1877435,209723,?,?,?,229
cal_housing,2,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,34941.224056,53686.373485,38.732412,46.669281,0.884639,0,0,?,?,?,?,?,?,2.713,0.003,2.65625,0,2656.25,0,175434,1877435,209723,?,?,?,238
cal_housing,2,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,35139.139751,56066.735173,38.114379,48.137155,0.876809,0,0,?,?,?,?,?,?,2.747,0.002,2.671875,0,2671.875,0,155786,1877435,209723,?,?,?,210
cal_housing,2,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,37796.979501,60454.628192,41.108506,51.863252,0.855917,0,0,?,?,?,?,?,?,2.676,0.002,2.546875,0.015625,2546.875,15.625,162858,1877435,209723,?,?,?,220
cal_housing,2,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,37050.332507,54945.096522,41.317752,48.475088,0.874673,0,0,?,?,?,?,?,?,2.601,0.002,2.5625,0.015625,2562.5,15.625,143146,1877435,209723,?,?,?,192
cal_housing,2,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,37136.363407,55684.276161,40.223058,47.900398,0.877802,0,0,?,?,?,?,?,?,2.697,0.003,2.6875,0,2687.5,0,154610,1877435,209723,?,?,?,209
cal_housing,2,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,35727.261266,53277.176755,39.197338,46.176213,0.886954,0,0,?,?,?,?,?,?,2.642,0.003,2.578125,0,2578.125,0,155898,1877435,209723,?,?,?,210
cal_housing,2,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,36875.444039,56870.426721,39.611575,48.701502,0.873427,0,0,?,?,?,?,?,?,2.723,0.003,2.578125,0,2578.125,0,188510,1877435,209723,?,?,?,257
cal_housing,2,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.2155,18576,2064,37166.665718,55028.308844,40.818951,47.597214,0.87948,0,0,?,?,?,?,?,?,2.711,0.002,2.625,0,2625,0,148090,1877435,209723,?,?,?,199
