@relation InstanceResultListener

@attribute Key_Dataset {delta_ailerons}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

delta_ailerons,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.022,6416,713,0.00012,0.000168,48.965899,53.258328,0.846524,0,0,?,?,?,?,?,?,0.661,0,0.625,0,625,0,17526,495112,55981,?,?,?,15
delta_ailerons,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.022,6416,713,0.000114,0.000161,49.154044,54.035375,0.841515,0,0,?,?,?,?,?,?,0.766,0.001,0.734375,0,734.375,0,23338,495112,55981,?,?,?,24
delta_ailerons,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.022,6416,713,0.000117,0.00017,47.285817,52.405404,0.85489,0,0,?,?,?,?,?,?,0.668,0.002,0.625,0,625,0,16866,495112,55981,?,?,?,14
delta_ailerons,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.022,6416,713,0.000118,0.000172,50.464454,57.666535,0.816912,0,0,?,?,?,?,?,?,0.921,0.001,0.640625,0,640.625,0,21386,495112,55981,?,?,?,21
delta_ailerons,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.022,6416,713,0.000109,0.00016,46.056137,53.255953,0.847696,0,0,?,?,?,?,?,?,0.84,0.001,0.625,0,625,0,18178,495112,55981,?,?,?,16
delta_ailerons,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.022,6416,713,0.000114,0.000161,47.937719,52.830007,0.849035,0,0,?,?,?,?,?,?,1.057,0.002,0.71875,0,718.75,0,25902,495112,55981,?,?,?,28
delta_ailerons,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.022,6416,713,0.000117,0.000165,49.048813,53.013913,0.849251,0,0,?,?,?,?,?,?,5.349,0.003,1.203125,0,1203.125,0,25242,495112,55981,?,?,?,27
delta_ailerons,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.022,6416,713,0.000111,0.000155,48.057907,53.968854,0.843442,0,0,?,?,?,?,?,?,2.498,0.001,1.21875,0,1218.75,0,27806,495112,55981,?,?,?,31
delta_ailerons,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.022,6416,713,0.000119,0.000172,49.753117,56.457171,0.826001,0,0,?,?,?,?,?,?,4.202,0.001,1.140625,0,1140.625,0,22026,495112,55981,?,?,?,22
