@relation InstanceResultListener

@attribute Key_Dataset {delta_elevators}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

delta_elevators,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001061,0.001391,53.97927,59.748593,0.80244,0,0,?,?,?,?,?,?,7.537,0.001,1.796875,0,1796.875,0,13324,729152,82047,?,?,?,8
delta_elevators,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.00108,0.001458,54.016135,60.270989,0.797472,0,0,?,?,?,?,?,?,1.065,0,1,0,1000,0,13324,729152,82047,?,?,?,8
delta_elevators,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001032,0.001382,50.994763,57.320982,0.820834,0,0,?,?,?,?,?,?,1.218,0.005,0.96875,0,968.75,0,11312,729152,82047,?,?,?,5
delta_elevators,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001041,0.001374,52.28634,58.254364,0.812634,0,0,?,?,?,?,?,?,1.21,0.001,1,0,1000,0,11312,729152,82047,?,?,?,5
delta_elevators,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001091,0.001419,55.366351,60.111027,0.799801,0,0,?,?,?,?,?,?,0.918,0,0.90625,0,906.25,0,11312,729152,82047,?,?,?,5
delta_elevators,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001057,0.001401,54.238777,60.088665,0.7996,0,0,?,?,?,?,?,?,0.886,0.001,0.875,0,875,0,16008,729152,82047,?,?,?,12
delta_elevators,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001117,0.001474,55.882163,61.106405,0.791559,0,0,?,?,?,?,?,?,0.957,0.002,0.921875,0,921.875,0,11308,729152,82047,?,?,?,5
delta_elevators,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8566,951,0.001039,0.00135,52.747163,58.306417,0.811231,0,0,?,?,?,?,?,?,1.209,0,1.125,0,1125,0,13312,729237,81962,?,?,?,8
delta_elevators,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8566,951,0.001127,0.001509,55.927797,62.103108,0.783782,0,0,?,?,?,?,?,?,1.032,0.001,0.96875,0,968.75,0,11312,729237,81962,?,?,?,5
delta_elevators,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8566,951,0.001125,0.001487,56.843579,62.630119,0.779908,0,0,?,?,?,?,?,?,1.285,0.001,1.125,0,1125,0,15284,729237,81962,?,?,?,11
delta_elevators,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001042,0.001378,52.786489,58.852695,0.808621,0,0,?,?,?,?,?,?,0.985,0.002,0.953125,0,953.125,0,13324,729152,82047,?,?,?,8
delta_elevators,2,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001093,0.001419,53.698822,58.373525,0.812202,0,0,?,?,?,?,?,?,0.938,0.001,0.90625,0,906.25,0,13312,729152,82047,?,?,?,8
delta_elevators,2,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001119,0.001451,56.487617,61.479789,0.79036,0,0,?,?,?,?,?,?,0.856,0,0.84375,0,843.75,0,13324,729152,82047,?,?,?,8
delta_elevators,2,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001101,0.001495,53.928006,59.870121,0.801879,0,0,?,?,?,?,?,?,0.905,0.001,0.890625,0,890.625,0,14000,729152,82047,?,?,?,9
delta_elevators,2,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001049,0.00138,53.035535,59.272755,0.805308,0,0,?,?,?,?,?,?,0.928,0.001,0.90625,0,906.25,0,12656,729152,82047,?,?,?,7
delta_elevators,2,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001054,0.001416,52.883004,60.479896,0.797093,0,0,?,?,?,?,?,?,0.911,0.001,0.90625,0,906.25,0,11312,729152,82047,?,?,?,5
delta_elevators,2,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8565,952,0.001047,0.001442,53.960885,60.712124,0.794956,0,0,?,?,?,?,?,?,0.923,0,0.921875,0,921.875,0,14640,729152,82047,?,?,?,10
delta_elevators,2,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8566,951,0.001039,0.001388,52.869447,59.333507,0.805096,0,0,?,?,?,?,?,?,0.877,0,0.875,0,875,0,17988,729237,81962,?,?,?,15
delta_elevators,2,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8566,951,0.001089,0.001408,56.610901,62.184333,0.78331,0,0,?,?,?,?,?,?,0.878,0,0.859375,0,859.375,0,9968,729237,81962,?,?,?,3
delta_elevators,2,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0319,8566,951,0.001132,0.001484,55.927178,60.418241,0.797148,0,0,?,?,?,?,?,?,0.951,0.001,0.859375,0,859.375,0,13996,729237,81962,?,?,?,9
