@relation InstanceResultListener

@attribute Key_Dataset {elevators}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

elevators,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1955,14939,1660,0.0016,0.002159,34.271141,31.565416,0.948872,0,0,?,?,?,?,?,?,5.956,0.002,3.84375,0,3843.75,0,34426,2705668,302169,?,?,?,27
elevators,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1955,14939,1660,0.001602,0.002209,34.072612,31.465094,0.949183,0,0,?,?,?,?,?,?,6.116,0.002,3.859375,0,3859.375,0,57858,2705668,302169,?,?,?,54
elevators,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1955,14939,1660,0.001515,0.002074,33.473813,31.376331,0.949709,0,0,?,?,?,?,?,?,7.97,0.002,3.859375,0.015625,3859.375,15.625,47602,2705668,302169,?,?,?,42
elevators,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1955,14939,1660,0.001589,0.002117,34.128841,30.903318,0.95106,0,0,?,?,?,?,?,?,3.867,0.002,3.578125,0,3578.125,0,42374,2705668,302169,?,?,?,36
elevators,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1956,14939,1660,0.001587,0.002109,35.378473,32.94854,0.944051,0,0,?,?,?,?,?,?,3.625,0.002,3.46875,0.015625,3468.75,15.625,37818,2705668,302169,?,?,?,31
elevators,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1956,14939,1660,0.001558,0.002144,34.91088,32.411612,0.946176,0,0,?,?,?,?,?,?,3.443,0.002,3.359375,0,3359.375,0,33658,2705668,302169,?,?,?,26
elevators,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1956,14939,1660,0.001621,0.002309,34.802684,33.295241,0.943075,0,0,?,?,?,?,?,?,2.722,0.002,2.703125,0,2703.125,0,39598,2705668,302169,?,?,?,33
elevators,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1956,14939,1660,0.00162,0.002183,35.531605,33.012224,0.944036,0,0,?,?,?,?,?,?,2.678,0.002,2.671875,0,2671.875,0,30962,2705668,302169,?,?,?,23
elevators,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1956,14939,1660,0.001613,0.002169,35.642021,32.193386,0.946793,0,0,?,?,?,?,?,?,2.704,0.003,2.671875,0,2671.875,0,35010,2705668,302169,?,?,?,28
elevators,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1956,14940,1659,0.001623,0.002146,35.980152,32.879968,0.944453,0,0,?,?,?,?,?,?,3.469,0.002,2.703125,0.015625,2703.125,15.625,36890,2705849,301988,?,?,?,30
elevators,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1956,14939,1660,0.001602,0.002146,34.203274,30.597712,0.952127,0,0,?,?,?,?,?,?,3.628,0.003,3.5,0,3500,0,34378,2705668,302169,?,?,?,27
