@relation InstanceResultListener

@attribute Key_Dataset {housing}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

housing,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1913,455,51,1.958933,2.857481,30.038863,35.124745,0.937505,0,0,?,?,?,?,?,?,0.24,0,0.09375,0,93.75,0,26122,65801,8837,?,?,?,21
housing,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1913,455,51,2.580509,3.37749,38.21385,38.568259,0.922555,0,0,?,?,?,?,?,?,0.301,0,0.09375,0,93.75,0,19090,65801,8837,?,?,?,12
housing,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1913,455,51,2.660467,4.51375,34.599404,42.055935,0.91691,0,0,?,?,?,?,?,?,0.14,0,0.0625,0,62.5,0,18402,65801,8837,?,?,?,11
housing,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1913,455,51,2.444818,3.372535,53.621314,56.439643,0.841223,0,0,?,?,?,?,?,?,0.13,0,0.0625,0,62.5,0,18318,65801,8837,?,?,?,11
housing,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1913,455,51,2.404407,3.451645,28.457603,29.126795,0.954578,0,0,?,?,?,?,?,?,0.1,0,0.0625,0,62.5,0,22970,65801,8837,?,?,?,17
housing,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1913,455,51,2.800122,5.20508,41.62993,53.554413,0.847054,0,0,?,?,?,?,?,?,0.12,0,0.078125,0,78.125,0,16798,65801,8837,?,?,?,9
housing,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1913,456,50,2.562117,3.450257,36.290066,36.624736,0.933118,0,0,?,?,?,?,?,?,0.14,0,0.046875,0,46.875,0,22106,65942,8696,?,?,?,16
housing,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1913,456,50,2.349943,2.979953,34.099109,31.280113,0.950653,0,0,?,?,?,?,?,?,0.13,0,0.078125,0,78.125,0,20522,65942,8696,?,?,?,14
housing,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220419.1913,456,50,2.537622,4.098056,46.18255,52.242338,0.865138,0,0,?,?,?,?,?,?,0.07,0,0.046875,0,46.875,0,23770,65942,8696,?,?,?,18
