@relation InstanceResultListener

@attribute Key_Dataset {kin8nm}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

kin8nm,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220416.2149,7372,820,0.130974,0.16901,59.043844,62.704902,0.778978,0,0,?,?,?,?,?,?,0.924,0,0.890625,0,890.625,0,77574,745771,84019,?,?,?,98
kin8nm,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220416.2149,7372,820,0.11671,0.152292,55.975122,59.751903,0.802513,0,0,?,?,?,?,?,?,0.879,0,0.875,0,875,0,111198,745771,84019,?,?,?,146
kin8nm,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220416.2149,7373,819,0.121302,0.158169,54.966889,59.09755,0.80755,0,0,?,?,?,?,?,?,0.881,0,0.84375,0,843.75,0,77646,745872,83918,?,?,?,98
kin8nm,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220416.2149,7373,819,0.128084,0.170499,58.715772,64.356202,0.765147,0,0,?,?,?,?,?,?,0.939,0,0.921875,0,921.875,0,85534,745872,83918,?,?,?,109
kin8nm,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220416.2149,7373,819,0.121136,0.160142,57.923315,62.873435,0.779228,0,0,?,?,?,?,?,?,0.94,0,0.90625,0,906.25,0,89894,745872,83918,?,?,?,115
kin8nm,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220416.2149,7373,819,0.124362,0.160052,55.958427,59.16274,0.806236,0,0,?,?,?,?,?,?,0.863,0,0.875,0,875,0,91126,745872,83918,?,?,?,117
kin8nm,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220416.2149,7373,819,0.127775,0.162306,59.060274,60.961937,0.793958,0,0,?,?,?,?,?,?,0.891,0.01,0.875,0.015625,875,15.625,83822,745872,83918,?,?,?,107
kin8nm,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220416.2149,7373,819,0.118519,0.150982,53.816359,56.114916,0.828002,0,0,?,?,?,?,?,?,0.89,0,0.890625,0,890.625,0,120042,745872,83918,?,?,?,159
kin8nm,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220416.2149,7373,819,0.122293,0.156685,59.040527,61.107305,0.79196,0,0,?,?,?,?,?,?,0.892,0,0.890625,0,890.625,0,65122,745872,83918,?,?,?,80
kin8nm,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220416.2149,7373,819,0.123682,0.158948,58.523218,60.773894,0.79439,0,0,?,?,?,?,?,?,0.874,0,0.875,0,875,0,100062,745872,83918,?,?,?,130
kin8nm,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220416.2149,7372,820,0.124508,0.158266,57.976621,59.798007,0.801627,0,0,?,?,?,?,?,?,0.943,0,0.859375,0,859.375,0,68578,745771,84019,?,?,?,85
