@relation InstanceResultListener

@attribute Key_Dataset {pol}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

pol,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.0444,13500,1500,2.406339,5.624991,6.362611,13.264863,0.991153,0,0,?,?,?,?,?,?,2.135,0.006,1.8125,0,1812.5,0,192936,5686465,634465,?,?,?,181
pol,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.0445,13500,1500,2.453643,5.809032,6.574503,13.870094,0.990358,0,0,?,?,?,?,?,?,2.332,0.002,1.84375,0,1843.75,0,148180,5686465,634465,?,?,?,135
pol,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.0445,13500,1500,2.832977,8.03177,7.544642,19.043976,0.981813,0,0,?,?,?,?,?,?,1.955,0.001,1.6875,0,1687.5,0,183084,5686465,634465,?,?,?,171
pol,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.0445,13500,1500,2.56022,5.972471,6.908306,14.340399,0.989663,0,0,?,?,?,?,?,?,1.812,0.003,1.75,0.015625,1750,15.625,159272,5686465,634465,?,?,?,146
pol,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.0445,13500,1500,2.412211,6.07702,6.520919,14.669854,0.98918,0,0,?,?,?,?,?,?,1.895,0.002,1.890625,0,1890.625,0,188724,5686465,634465,?,?,?,177
pol,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.0445,13500,1500,2.572768,6.254213,7.032714,15.250831,0.988291,0,0,?,?,?,?,?,?,1.857,0.002,1.8125,0,1812.5,0,209984,5686465,634465,?,?,?,199
pol,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.0445,13500,1500,2.712993,6.330531,7.222171,15.033654,0.988693,0,0,?,?,?,?,?,?,1.826,0.001,1.8125,0,1812.5,0,148072,5686465,634465,?,?,?,135
pol,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.0445,13500,1500,2.337192,6.256521,6.265774,15.00804,0.988676,0,0,?,?,?,?,?,?,1.672,0.002,1.640625,0,1640.625,0,157024,5686465,634465,?,?,?,144
pol,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220418.0445,13500,1500,2.832725,7.227219,7.636597,17.342519,0.984895,0,0,?,?,?,?,?,?,1.564,0.002,1.53125,0,1531.25,0,196916,5686465,634465,?,?,?,185
