@relation InstanceResultListener

@attribute Key_Dataset {pyrim}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

pyrim,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.051566,0.06491,69.8021,63.259845,0.798824,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,15079,18929,4255,?,?,?,3
pyrim,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.030394,0.0381,28.576206,30.361843,0.970942,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,15087,18929,4255,?,?,?,3
pyrim,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.060013,0.069693,69.206231,60.903098,0.796125,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,15071,18929,4255,?,?,?,3
pyrim,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.043661,0.049098,51.867618,52.533334,0.921452,0,0,?,?,?,?,?,?,0,0,0,0,0,0,15075,18929,4255,?,?,?,3
pyrim,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.106651,0.207883,67.410419,89.697372,0.28962,0,0,?,?,?,?,?,?,0,0,0,0,0,0,13095,19182,4002,?,?,?,1
pyrim,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.063606,0.08806,69.267022,76.465643,0.888189,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,15107,19182,4002,?,?,?,3
pyrim,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.076484,0.088131,96.398727,84.296535,0.502008,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,14095,19182,4002,?,?,?,2
pyrim,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.05884,0.069314,46.854721,43.349294,0.983159,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,15091,19182,4002,?,?,?,3
pyrim,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.068376,0.08207,93.517714,90.23466,0.798607,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,13099,19182,4002,?,?,?,1
pyrim,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.055367,0.06949,56.989416,70.005529,0.929175,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,14115,19182,4002,?,?,?,2
pyrim,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.077648,0.096161,92.726776,89.929754,0.784798,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,13107,18929,4255,?,?,?,1
pyrim,2,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.045372,0.051406,51.182149,55.066133,0.851215,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,13095,18929,4255,?,?,?,1
pyrim,2,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.039219,0.055386,56.221477,71.319232,0.799338,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,15091,18929,4255,?,?,?,3
pyrim,2,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.074744,0.102895,60.077521,66.517835,0.691768,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,13091,18929,4255,?,?,?,1
pyrim,2,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.050457,0.063221,53.492044,57.999267,0.823353,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,13091,19182,4002,?,?,?,1
pyrim,2,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.073481,0.08218,53.195569,48.793607,0.945774,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,14095,19182,4002,?,?,?,2
pyrim,2,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.134803,0.305487,109.668208,138.427423,-0.697807,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,15079,19182,4002,?,?,?,3
pyrim,2,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.087542,0.09858,104.415367,109.939076,-0.097557,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,13099,19182,4002,?,?,?,1
pyrim,2,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.049714,0.069351,54.973294,62.189025,0.738896,0,0,?,?,?,?,?,?,0,0,0,0,0,0,15111,19182,4002,?,?,?,3
pyrim,2,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.048978,0.055338,48.540047,45.689464,0.951928,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,15079,19182,4002,?,?,?,3
pyrim,3,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.043794,0.059805,59.796058,72.362541,0.818416,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,15087,18929,4255,?,?,?,3
pyrim,3,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.040731,0.048951,42.594423,40.274865,0.888062,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,15075,18929,4255,?,?,?,3
pyrim,3,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.033391,0.041186,50.029063,53.944723,0.891542,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,15099,18929,4255,?,?,?,3
pyrim,3,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.055224,0.072099,49.97507,61.150146,0.816342,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,13099,18929,4255,?,?,?,1
pyrim,3,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.086975,0.094346,99.873328,75.424269,0.669027,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,13095,19182,4002,?,?,?,1
pyrim,3,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.034261,0.040227,51.048357,54.567056,0.597773,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,15103,19182,4002,?,?,?,3
pyrim,3,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.030404,0.044388,42.308731,47.962481,0.866787,0,0,?,?,?,?,?,?,0,0,0,0,0,0,15095,19182,4002,?,?,?,3
pyrim,3,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.138665,0.292462,71.074369,116.322731,-0.01335,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,15079,19182,4002,?,?,?,3
pyrim,3,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.106233,0.129885,92.005034,95.341459,0.048695,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,13091,19182,4002,?,?,?,1
pyrim,3,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.055787,0.069883,53.371433,51.06051,0.865074,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,13103,19182,4002,?,?,?,1
pyrim,4,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.041384,0.048924,45.791805,43.734897,0.888275,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,15083,18929,4255,?,?,?,3
pyrim,4,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.041375,0.049393,41.898771,39.153362,0.974327,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,15119,18929,4255,?,?,?,3
pyrim,4,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.045181,0.055015,48.222338,53.015576,0.861567,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,13103,18929,4255,?,?,?,1
pyrim,4,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,66,8,0.051323,0.062191,44.8371,48.196071,0.881855,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,13103,18929,4255,?,?,?,1
pyrim,4,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.033302,0.048765,54.973464,63.335451,0.783325,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,13103,19182,4002,?,?,?,1
pyrim,4,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.056422,0.106521,53.189051,86.177153,0.515932,0,0,?,?,?,?,?,?,0,0,0,0,0,0,16087,19182,4002,?,?,?,4
pyrim,4,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0628,67,7,0.155899,0.316471,92.215505,131.542557,-0.329482,0,0,?,?,?,?,?,?,0.01,0,0.015625,0,15.625,0,14087,19182,4002,?,?,?,2
