@relation InstanceResultListener

@attribute Key_Dataset {servo}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

servo,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,150,17,0.314282,0.775177,23.225412,39.094807,0.941927,0,0,?,?,?,?,?,?,0.04,0,0.03125,0,31.25,0,13057,12055,2878,?,?,?,4
servo,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,150,17,0.267419,0.473342,33.351566,48.115029,0.857619,0,0,?,?,?,?,?,?,0.03,0,0.015625,0,15.625,0,16225,12055,2878,?,?,?,8
servo,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,150,17,0.495897,1.048806,41.917872,57.962864,0.82652,0,0,?,?,?,?,?,?,0.03,0,0.015625,0,15.625,0,14589,12055,2878,?,?,?,6
servo,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,150,17,0.242034,0.3109,16.220795,15.620456,0.986783,0,0,?,?,?,?,?,?,0.04,0.01,0.03125,0.015625,31.25,15.625,13817,12055,2878,?,?,?,5
servo,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,150,17,0.170351,0.294901,14.40392,21.314122,0.981219,0,0,?,?,?,?,?,?,0.11,0,0.03125,0,31.25,0,16997,12055,2878,?,?,?,9
servo,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,150,17,0.162948,0.225426,16.705651,17.890023,0.98317,0,0,?,?,?,?,?,?,0.02,0,0.015625,0,15.625,0,13045,12055,2878,?,?,?,4
servo,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,150,17,0.151689,0.205012,12.585901,13.588493,0.991866,0,0,?,?,?,?,?,?,0.03,0,0.03125,0,31.25,0,14649,12055,2878,?,?,?,6
servo,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,151,16,0.377422,0.633732,29.017211,38.81404,0.933608,0,0,?,?,?,?,?,?,0.02,0,0.015625,0,15.625,0,14625,12124,2809,?,?,?,6
servo,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,151,16,0.221012,0.314847,22.185464,25.597279,0.964207,0,0,?,?,?,?,?,?,0.02,0,0,0,0,0,13025,12124,2809,?,?,?,4
servo,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,151,16,0.463391,0.609882,43.501577,41.253794,0.910001,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,14593,12124,2809,?,?,?,6
servo,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,150,17,0.35608,0.680154,36.613258,58.091962,0.889464,0,0,?,?,?,?,?,?,0.03,0,0.03125,0,31.25,0,15425,12055,2878,?,?,?,7
servo,2,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,150,17,0.329382,0.772854,26.7309,44.186634,0.963005,0,0,?,?,?,?,?,?,0.01,0,0,0,0,0,12221,12055,2878,?,?,?,3
servo,2,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0612,150,17,0.412135,0.65482,45.39303,56.01653,0.895369,0,0,?,?,?,?,?,?,0.03,0,0.015625,0,15.625,0,14641,12055,2878,?,?,?,6
