@relation InstanceResultListener

@attribute Key_Dataset {stock}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

stock,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.718314,0.915414,15.152378,15.556238,0.987982,0,0,?,?,?,?,?,?,0.09,0,0.078125,0,78.125,0,40810,94467,11627,?,?,?,46
stock,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.601447,0.797024,11.089381,12.475389,0.992026,0,0,?,?,?,?,?,?,0.09,0,0.078125,0,78.125,0,41498,94467,11627,?,?,?,47
stock,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.592787,0.785083,9.762254,11.157981,0.993809,0,0,?,?,?,?,?,?,0.08,0,0.078125,0,78.125,0,41606,94467,11627,?,?,?,47
stock,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.706084,0.953225,13.34176,15.243602,0.987717,0,0,?,?,?,?,?,?,0.08,0,0.078125,0,78.125,0,40830,94467,11627,?,?,?,46
stock,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.6257,0.821664,11.636358,12.691016,0.991828,0,0,?,?,?,?,?,?,0.08,0,0.078125,0,78.125,0,32498,94467,11627,?,?,?,34
stock,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.733983,1.11519,13.768958,17.464666,0.984694,0,0,?,?,?,?,?,?,0.07,0,0.078125,0,78.125,0,40802,94467,11627,?,?,?,46
stock,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.633028,0.843349,11.620537,12.780512,0.991801,0,0,?,?,?,?,?,?,0.069,0,0.078125,0,78.125,0,36618,94467,11627,?,?,?,40
stock,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.628969,0.786334,10.716614,11.403188,0.993558,0,0,?,?,?,?,?,?,0.11,0,0.109375,0,109.375,0,39410,94467,11627,?,?,?,44
stock,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.626442,0.792575,10.818863,11.548655,0.993626,0,0,?,?,?,?,?,?,0.08,0,0.078125,0,78.125,0,51170,94467,11627,?,?,?,61
stock,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.839353,1.419898,15.311959,21.519536,0.976881,0,0,?,?,?,?,?,?,0.08,0,0.078125,0,78.125,0,31794,94467,11627,?,?,?,33
stock,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.722252,0.955445,13.154881,14.514119,0.989614,0,0,?,?,?,?,?,?,0.101,0,0.09375,0,93.75,0,47766,94467,11627,?,?,?,56
stock,2,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.650616,0.808308,10.880225,11.488238,0.993386,0,0,?,?,?,?,?,?,0.09,0,0.09375,0,93.75,0,30474,94467,11627,?,?,?,31
stock,2,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.842009,1.140731,13.588028,15.760833,0.987897,0,0,?,?,?,?,?,?,0.09,0,0.078125,0,78.125,0,40178,94467,11627,?,?,?,45
stock,2,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.55088,0.721459,10.776233,11.832226,0.993163,0,0,?,?,?,?,?,?,0.07,0,0.078125,0,78.125,0,47622,94467,11627,?,?,?,56
stock,2,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.614982,0.80642,12.621167,13.855376,0.990466,0,0,?,?,?,?,?,?,0.08,0,0.0625,0,62.5,0,37230,94467,11627,?,?,?,41
stock,2,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.596846,0.749777,11.067575,11.552352,0.993739,0,0,?,?,?,?,?,?,0.07,0,0.0625,0,62.5,0,42150,94467,11627,?,?,?,48
stock,2,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.723737,1.110555,12.365871,16.263466,0.987019,0,0,?,?,?,?,?,?,0.08,0,0.078125,0,78.125,0,33878,94467,11627,?,?,?,36
stock,2,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.874777,1.784085,16.52191,28.204269,0.961769,0,0,?,?,?,?,?,?,0.07,0,0.078125,0,78.125,0,34614,94467,11627,?,?,?,37
stock,2,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.625954,0.751881,11.696465,11.737442,0.993269,0,0,?,?,?,?,?,?,0.07,0,0.0625,0,62.5,0,35346,94467,11627,?,?,?,38
stock,2,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.727542,0.881895,13.896938,13.712678,0.990698,0,0,?,?,?,?,?,?,0.09,0,0.09375,0,93.75,0,33218,94467,11627,?,?,?,35
stock,3,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.724203,0.919026,13.780127,14.541752,0.990004,0,0,?,?,?,?,?,?,0.12,0,0.125,0,125,0,44282,94467,11627,?,?,?,51
stock,3,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.611501,0.800169,10.204029,11.532544,0.993672,0,0,?,?,?,?,?,?,0.112,0,0.109375,0,109.375,0,43014,94467,11627,?,?,?,49
stock,3,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.651397,0.844727,11.684416,12.573914,0.991482,0,0,?,?,?,?,?,?,0.094,0,0.09375,0,93.75,0,38518,94467,11627,?,?,?,43
stock,3,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0533,855,95,0.632509,0.773009,11.421538,11.816396,0.992924,0,0,?,?,?,?,?,?,0.11,0,0.109375,0,109.375,0,39470,94467,11627,?,?,?,44
