@relation InstanceResultListener

@attribute Key_Dataset {triazines}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

triazines,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.084406,0.101633,98.302835,100.836292,0.423284,0,0,?,?,?,?,?,?,0.05,0,0.046875,0,46.875,0,22834,90290,13774,?,?,?,3
triazines,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.113719,0.132503,84.674505,88.195549,0.504734,0,0,?,?,?,?,?,?,0.04,0,0.046875,0,46.875,0,22830,90290,13774,?,?,?,3
triazines,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.116138,0.14741,82.887132,84.545752,0.55492,0,0,?,?,?,?,?,?,0.05,0,0.046875,0,46.875,0,22798,90290,13774,?,?,?,3
triazines,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.139705,0.184588,89.287736,90.401081,0.459846,0,0,?,?,?,?,?,?,0.04,0,0.046875,0,46.875,0,22878,90290,13774,?,?,?,3
triazines,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.101343,0.13225,107.610665,124.649605,0.503274,0,0,?,?,?,?,?,?,0.04,0,0.03125,0,31.25,0,21330,90290,13774,?,?,?,2
triazines,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.116611,0.149345,104.25574,90.087362,0.461515,0,0,?,?,?,?,?,?,0.04,0,0.03125,0,31.25,0,25634,90290,13774,?,?,?,5
triazines,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,168,18,0.100859,0.128955,91.077577,76.004011,0.654121,0,0,?,?,?,?,?,?,0.04,0,0.046875,0,46.875,0,27330,90807,13257,?,?,?,6
triazines,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,168,18,0.09162,0.137198,88.471466,86.530923,0.503058,0,0,?,?,?,?,?,?,0.05,0,0.046875,0,46.875,0,27378,90807,13257,?,?,?,6
triazines,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,168,18,0.100377,0.129402,69.572058,66.708435,0.736652,0,0,?,?,?,?,?,?,0.05,0,0.0625,0,62.5,0,22894,90807,13257,?,?,?,3
triazines,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,168,18,0.076227,0.10222,73.728178,85.322452,0.579139,0,0,?,?,?,?,?,?,0.04,0,0.046875,0,46.875,0,22886,90807,13257,?,?,?,3
triazines,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.070768,0.084459,69.441287,60.362675,0.798157,0,0,?,?,?,?,?,?,0.04,0,0.03125,0,31.25,0,27414,90290,13774,?,?,?,6
triazines,2,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.073791,0.087229,98.124463,88.482025,0.608444,0,0,?,?,?,?,?,?,0.04,0,0.046875,0,46.875,0,27382,90290,13774,?,?,?,6
triazines,2,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.114621,0.14585,73.535656,68.870021,0.79576,0,0,?,?,?,?,?,?,0.05,0,0.046875,0,46.875,0,21382,90290,13774,?,?,?,2
triazines,2,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.129739,0.173044,71.203633,72.761735,0.772026,0,0,?,?,?,?,?,?,0.04,0,0.046875,0,46.875,0,25874,90290,13774,?,?,?,5
triazines,2,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.07457,0.096602,85.277569,81.030315,0.57443,0,0,?,?,?,?,?,?,0.04,0,0.03125,0,31.25,0,27398,90290,13774,?,?,?,6
triazines,2,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.087446,0.116874,81.449785,89.595462,0.313323,0,0,?,?,?,?,?,?,0.04,0,0.046875,0,46.875,0,24118,90290,13774,?,?,?,4
triazines,2,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,168,18,0.082395,0.11392,69.356964,86.596305,0.517925,0,0,?,?,?,?,?,?,0.041,0,0.046875,0,46.875,0,22894,90807,13257,?,?,?,3
triazines,2,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,168,18,0.105264,0.161384,86.390497,112.509708,0.267897,0,0,?,?,?,?,?,?,0.04,0,0.03125,0,31.25,0,24370,90807,13257,?,?,?,4
triazines,2,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,168,18,0.10213,0.125261,103.354593,84.433859,0.718912,0,0,?,?,?,?,?,?,0.041,0,0.046875,0,46.875,0,22902,90807,13257,?,?,?,3
triazines,2,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,168,18,0.085023,0.098893,62.004449,60.00991,0.877487,0,0,?,?,?,?,?,?,0.051,0,0.046875,0,46.875,0,22842,90807,13257,?,?,?,3
triazines,3,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220412.0525,167,19,0.066732,0.093303,65.543983,73.795652,0.621173,0,0,?,?,?,?,?,?,0.056,0,0.0625,0,62.5,0,22878,90290,13774,?,?,?,3
