@relation InstanceResultListener

@attribute Key_Dataset {wisconsin}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-M 4.0 -num-decimal-places 4','-kuenzel-et-al-split-selection -M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-6118439039768233317}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data

wisconsin,1,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,174,20,28.439627,32.559907,95.006243,99.09492,0.380916,0,0,?,?,?,?,?,?,0.562,0,0.40625,0,406.25,0,25148,53599,8477,?,?,?,12
wisconsin,1,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,174,20,26.307521,31.331756,81.196052,82.213443,0.585242,0,0,?,?,?,?,?,?,0.214,0.001,0.140625,0,140.625,0,14236,53599,8477,?,?,?,2
wisconsin,1,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,174,20,23.384539,29.986807,83.280319,87.346894,0.528552,0,0,?,?,?,?,?,?,0.096,0,0.09375,0,93.75,0,15340,53599,8477,?,?,?,3
wisconsin,1,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,174,20,31.472124,35.436666,89.991282,96.077515,0.273919,0,0,?,?,?,?,?,?,0.091,0,0.09375,0,93.75,0,19836,53599,8477,?,?,?,7
wisconsin,1,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,175,19,24.016105,29.330799,87.832227,97.777501,0.201386,0,0,?,?,?,?,?,?,0.059,0,0.046875,0,46.875,0,22024,53892,8184,?,?,?,9
wisconsin,1,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,175,19,37.063838,43.868933,115.707047,106.69166,0.007415,0,0,?,?,?,?,?,?,0.062,0,0.046875,0,46.875,0,13048,53892,8184,?,?,?,1
wisconsin,1,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,175,19,28.187493,34.96816,115.167626,115.81252,0.002094,0,0,?,?,?,?,?,?,0.045,0,0.046875,0,46.875,0,13060,53892,8184,?,?,?,1
wisconsin,1,8,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,175,19,31.794956,34.484303,108.451199,103.989996,0.083478,0,0,?,?,?,?,?,?,0.048,0,0.0625,0,62.5,0,15356,53892,8184,?,?,?,3
wisconsin,1,9,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,175,19,25.320138,30.672122,102.712661,113.82317,0.077376,0,0,?,?,?,?,?,?,0.054,0,0.046875,0,46.875,0,16468,53892,8184,?,?,?,4
wisconsin,1,10,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,175,19,30.558563,36.74768,88.060061,88.721239,0.539571,0,0,?,?,?,?,?,?,0.055,0,0.03125,0,31.25,0,17648,53892,8184,?,?,?,5
wisconsin,2,1,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,174,20,32.220367,36.973783,102.26449,106.637535,0.432747,0,0,?,?,?,?,?,?,0.053,0,0.046875,0,46.875,0,16512,53599,8477,?,?,?,4
wisconsin,2,2,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,174,20,24.121003,30.369579,109.392305,107.189047,0.06516,0,0,?,?,?,?,?,?,0.039,0,0.046875,0,46.875,0,18612,53599,8477,?,?,?,6
wisconsin,2,3,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,174,20,26.587662,36.06821,86.989079,105.704073,0.200743,0,0,?,?,?,?,?,?,0.046,0.001,0.046875,0,46.875,0,14252,53599,8477,?,?,?,2
wisconsin,2,4,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,174,20,35.040348,40.575672,111.593465,110.191862,-0.030063,0,0,?,?,?,?,?,?,0.042,0,0.046875,0,46.875,0,13048,53599,8477,?,?,?,1
wisconsin,2,5,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,175,19,26.738871,29.590466,87.974221,90.146267,0.391182,0,0,?,?,?,?,?,?,0.037,0.001,0.03125,0,31.25,0,13052,53892,8184,?,?,?,1
wisconsin,2,6,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,175,19,24.317684,29.929278,95.392156,95.111851,0.378284,0,0,?,?,?,?,?,?,0.04,0,0.046875,0,46.875,0,14212,53892,8184,?,?,?,2
wisconsin,2,7,weka.classifiers.trees.M5P,'-M 4.0 -num-decimal-places 4',-6118439039768233317,20220414.0155,175,19,32.755513,37.449457,92.033192,92.660547,0.38642,0,0,?,?,?,?,?,?,0.042,0,0.046875,0,46.875,0,13044,53892,8184,?,?,?,1
